sp_pair,ages,abs_centroid_lat,patry,clim_div_pc1,clim_div_pc2,clim_div_pc3
1,3.624,45.0289,0,5.407683027,4.173894862,1.217648674
2,0.589,46.209,0,9.257060229,2.1446397,0.052159318
3,2.857,10.7163,0,0.191009297,9.190816152,0.106316063
4,4.576,6.7001,0,6.289362104,1.311852997,1.747659619
5,1.579,7.333,0,1.219669593,1.103264794,0.173930467
6,2.651,7.6964,0,5.04837397,0.303114267,2.419266006
7,2.661,37.0467,0,2.288762713,1.113416791,2.1608513
8,3.543,7.3364,0,0.404465777,3.895981439,0.754157158
9,2.596,6.3014,0,2.544649214,1.530776802,0.441742134
10,1.199,7.7756,0,1.753180643,2.813176215,0.044958062
11,1.939,56.315,0,14.40008653,0.587946005,0.085637653
12,3.132,8.2328,0,1.649441119,0.551436951,0.98763455
13,4.303,9.8223,0,0.09881039,2.225431888,0.540171354
14,4.102,12.2609,0,6.613483654,2.634153729,2.043407667
15,4.298,7.5587,0,2.450859958,5.562307463,0.851375477
16,3.229,8.2949,0,0.775679858,1.275277067,0.158152089
17,0.883,49.2558,0,9.019958878,0.433750241,3.406201771
18,3.478,3.6308,0,1.14343948,1.006337211,0.598289044
19,2.436,15.0108,0,5.779646537,2.460614033,1.575524886
20,0.674,10.4604,0,8.965867471,1.408921165,1.491284565
21,2.482,3.332,0,1.36723648,2.186472563,0.483298065
22,5.166,4.3611,0,2.832640043,2.74951707,0.28199453
23,1.166,21.8039,0,2.788956399,3.387821381,1.54034213
24,0.683,50.4921,0,4.652042272,4.491902616,0.774847711
25,1.641,14.4799,0,1.145964541,0.150783391,0.523752448
26,1.646,6.6608,0,3.710546664,1.450521145,1.063266176
27,4.446,7.6812,0,0.865376221,1.671567559,0.358095384
28,6.663,1.7109,0,9.790311062,1.776212531,2.283208441
29,4.135,8.1415,0,0.772824343,0.050788732,0.145075646
30,7.718,10.6157,0,0.457951637,0.04899651,1.125674516
31,0.563,48.6436,0,6.128494272,0.940938384,2.2865973
32,2.649,11.5663,0,4.610343162,0.48017024,0.037286005
33,1.88,17.0098,0,6.112898878,6.2305774,3.637748832
34,0.759,12.205,0,2.633329595,2.0449948,0.33458545
35,0.615,43.6172,0,0.281622856,3.193368695,2.63828215
36,1.511,27.1993,0,0.3732841,4.74099979,2.483462941
37,1.233,48.7965,0,2.533905942,0.83505972,3.249089544
38,2.314,8.1864,0,0.885580865,3.555248189,0.928824836
39,4.789,18.7107,0,1.04667054,4.245678839,2.410288251
40,1.833,11.1368,0,0.10593998,0.974107245,0.484972563
41,0.472,1.6029,0,5.478727775,0.498311041,1.079700603
42,1.803,6.8672,0,1.967256516,0.656789007,0.01939764
43,4.11,5.6802,0,1.894305898,0.777015261,0.125491419
44,0.837,16.0514,0,3.848622981,2.966889523,2.399719613
45,1.803,13.0467,0,1.301254152,0.281392356,1.187537339
46,4.799,9.5501,0,6.988823483,8.087607084,2.04219469
47,2.237,5.2359,0,6.058149592,0.880432492,1.756951078
48,0.694,14.9198,0,0.44037312,2.236934225,0.635531959
49,1.721,7.943,0,7.789634077,6.256272224,0.204393039
50,2.274,4.9599,0,2.826080794,0.853264126,1.087318103
51,0.761,7.6347,0,1.28580606,0.958208828,0.416696191
52,1.971,22.0733,0,0.595220834,1.861115629,1.072952018
53,1.316,33.8916,0,2.823173306,2.138911826,3.509634377
54,3.472,14.7373,0,2.948231076,1.043123508,0.71636026
55,5.954,5.4361,0,4.986657366,1.470960981,1.408343087
56,3.122,8.4417,0,0.465706535,1.693006075,0.397523974
57,1.869,6.8488,0,2.130112342,2.100835931,0.283221277
58,1.475,7.4635,0,1.749301945,8.426973526,0.424461866
59,2.634,5.4037,0,0.320993168,3.9757989,0.497879029
60,2.57,4.7818,0,2.315548228,0.723018949,1.053532811
61,3.827,6.1524,0,4.130340277,2.096648466,1.191327274
62,0.631,4.7648,0,0.234630968,0.51472357,0.405874596
63,0.907,40.732,0,9.456059227,5.421146463,1.700876368
64,0.539,9.4269,0,1.39560062,2.122289586,0.230394717
65,2.279,15.2847,0,1.77385134,3.308403749,1.678646744
66,0.926,54.986,0,9.400060978,4.184652275,2.984539254
67,5.071,12.0498,0,4.743451913,3.295517204,0.655880876
68,2.972,32.2795,0,2.998794852,2.953325248,1.672239319
69,4.398,22.7664,0,9.695775277,3.074982242,1.038743234
70,3.105,43.1461,0,6.170468274,1.283536492,2.972544091
71,5.237,2.938,0,1.196912805,3.43068706,0.320466689
72,4.2,13.2191,0,0.144634873,1.15144314,0.168729919
73,4.458,12.2414,0,2.106398688,1.431256767,0.349735737
74,1.046,7.4491,0,1.76645983,0.190750606,0.611931858
75,2.958,4.9417,0,3.886899428,1.769071005,1.012706232
76,3.029,23.3856,0,7.198144406,3.694210954,2.247127809
77,4.864,55.1971,0,12.92322644,0.909431538,0.329915412
78,3.052,28.3748,0,0.514777048,0.96463961,2.915675291
79,1.023,10.8585,0,4.471805633,4.379206127,1.079958582
80,2.912,9.565,0,4.962267257,1.961388477,1.264789267
81,4.789,16.1126,0,1.231699249,4.250717722,2.47083697
82,4.572,2.6865,0,1.746022113,1.862171173,0.040563614
83,4.527,5.899,0,4.025348379,1.584717733,0.385491609
84,5.516,6.5755,0,3.251027134,1.31932698,1.354508898
85,4.849,35.0718,0,9.603405499,2.990539821,4.382700062
86,1.97,10.3903,0,1.719121445,0.54808667,0.98339385
87,3.661,34.2193,0,0.025688065,3.969149605,2.584399262
88,3.583,12.1826,0,1.13851003,4.585632114,0.843262724
89,2.885,9.6535,0,1.752346003,2.917553282,0.965842355
90,2.981,6.1732,0,2.00301372,1.315688272,0.065943696
91,1.75,16.1763,0,3.048505673,0.251805586,1.52093675
92,3.638,8.8307,0,2.822634982,0.459599701,2.197022534
93,0.664,23.6844,0,1.529382341,2.818110858,1.416314105
94,2.729,5.9305,0,1.160756462,0.80927374,0.866436392
95,3.259,10.7173,0,4.275099709,2.357410396,0.576584506
96,3.658,8.5545,0,3.327393824,0.848807484,0.257035971
97,0.724,2.9966,0,0.16450893,0.692275465,0.422956504
98,3.077,16.0444,0,2.836528069,2.152987729,0.898782802
99,2.905,27.1885,0,9.511021177,1.238699426,2.58991049
100,0.974,30.4679,0,3.398868693,1.819487454,3.096417038
101,2.162,28.9668,0,1.037511045,1.603296064,2.506830922
102,5.225,33.7536,0,6.357734523,1.248596024,1.992266529
103,3.436,51.1565,0,4.278484458,1.046710617,0.665429519
104,3.117,11.5287,0,1.558855639,0.709830015,0.574680779
105,0.609,5.3073,0,1.510423887,3.786249505,0.480935943
106,1.754,48.1744,0,6.099570115,1.340305524,2.709544598
107,3.114,5.6791,0,5.101821571,0.720792593,0.140358406
108,3.147,12.8379,0,2.437005471,3.72143471,0.717183454
109,1.501,10.7924,0,5.411698325,0.419920114,0.712629268
110,1.863,9.8736,0,1.151263112,1.989376047,0.017392724
111,3.399,6.0913,0,1.292126901,1.038150702,0.23276489